what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1395785211640
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395785217904
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395785233272
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785249485
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785252279
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395785258426
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785259846
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785260873
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395785271571
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785272198
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785273057
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395785274682
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395785277530
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785278174
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785281328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785291935
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785297740
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785305894
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785306722
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395785314083
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395785314911
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785315167
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785317233
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1395785318580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785319870
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785325249
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395785325323
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785327807
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785330099
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1395785330114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785331359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785364017
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785369864
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785372306
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1395785372311
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395785380106
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395785386675
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785391450
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785392417
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785395826
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395785399259
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785409181
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1395785430228
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395785439513
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1395785440723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785442549
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785454214
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785463951
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785470568
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1395785470578
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1395785473676
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395785478910
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1395785480245
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395785486081
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1395785489880
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395785492283
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1395785516889
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395785517914
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1395785519595
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395785520587
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1395785522193
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1395785522724
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1395785522932
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1395785528957
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1395785530043
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1395785530945
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395785567964
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395785579773
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395785583021
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785590849
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785591397
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395785599109
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1395785626038
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1395785627437
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395785631231
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1395785634622
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1395785635587
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785640908
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785641398
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395785646800
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395785652170
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1395785653747
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785655474
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785666949
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785676856
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785677821
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1395785677826
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395785686101
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1395785687451
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1395785690492
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395785693415
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395785706089
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1395785730957
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395785733008
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785736353
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785738659
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785738676
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395785750550
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1395785752912
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1395785758120
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395785761142
